id,title,indexed,bgcov,n_mb_works
a-daisy-a-day,A Daisy a Day,0,1,1
adalida,Adalida,0,0,1
adam-s-side,Adam's Side,0,0,0
a-dark-road-is-a-hard-road-to-travel,A Dark Road Is A Hard Road To Travel,0,1,0
a-dark-starless-night,A Dark Starless Night,0,0,0
a-day-in-the-life-of-a-fool,A Day In The Life Of A Fool,0,0,2
a-day-without-prayer,A Day Without Prayer,0,0,1
add-another-fool-to-the-flame,Add Another Fool To The Flame,0,0,0
address-unknown,Address Unknown,0,0,1
a-devil-like-me-needs-an-angel-like-you,A Devil Like Me Needs An Angel Like You,0,0,0
adieu-false-heart,Adieu False Heart,1,2,1
a-different-kind-of-sad,A Different Kind Of Sad,0,0,1
adios-amigo,Adios Amigo,0,0,11
adios-farewell-goodbye-good-luck-so-long-lyrics-with-chords,Adios Farewell Goodbye Good Luck So Long Lyrics with Chords,0,0,0
a-distant-land-to-roam,A Distant Land To Roam,1,5,1
a-dog-s-life,A Dog's Life,0,0,11
adorable-women,Adorable Women,0,0,0
a-dozen-more-like-you,A Dozen More Like You,0,0,0
a-drunk-can-t-be-a-man,A Drunk Can't Be A Man,0,0,1
a-eee,A-Eee,0,0,0
a-face-in-the-crowd,A Face In The Crowd,1,4,20
a-faded-red-ribbon,A Faded Red Ribbon,1,3,0
a-faded-rose-a-broken-heart,A Faded Rose A Broken Heart,0,0,0
a-fallen-star,A Fallen Star,0,2,11
a-far-cry-from-you,A Far Cry From You,0,2,1
a-far-cry-from-you-1,A Far Cry From You,0,2,1
a-few-good-ole-country-boys-around,A Few Good Ole Country Boys Around,0,0,0
a-few-more-seasons,A Few More Seasons,0,3,1
a-few-more-years,A Few More Years,0,5,1
a-few-old-memories,A Few Old Memories,1,4,1
a-few-old-memories-1,A Few Old Memories,1,4,1
a-few-stars-short-of-the-moon,A Few Stars Short Of The Moon,0,0,0
a-few-steps-away,A Few Steps Away,0,0,0
a-fire-i-can-t-put-out,A Fire I Can't Put Out,0,0,0
a-flower-blooming-in-the-wildwood,A Flower Blooming in the Wildwood,1,11,1
a-fool-and-his-dreams,A Fool And His Dreams,0,0,0
a-fool-and-his-love-are-soon-parted,A Fool And His Love Are Soon Parted,0,0,0
a-fooler-a-faker,A Fooler A Faker,0,0,1
a-fool-never-learns,A Fool Never Learns,0,0,1
a-fool-such-as-i,A Fool Such As I,1,4,0
afraid,Afraid,0,0,28
afraid-i-ll-want-to-love-her-one-more-time,Afraid I'll Want To Love Her One More Time,0,0,0
afraid-to-care,Afraid To Care,0,0,0
afraid-to-love-again,Afraid To Love Again,0,1,2
afraid-to-love-and-afraid-of-dying,Afraid To Love And Afraid Of Dying,0,0,0
afraid-to-sleep,Afraid To Sleep,0,0,1
a-friend-in-california,A Friend In California,0,2,1
a-friend-to-me,A Friend To Me,0,0,1
a-front-seat-to-hear-ole-johnny-sing,A Front Seat To Hear Ole Johnny Sing,0,0,0
after-17,After 17,0,1,0
after-all,After All,0,1,91
after-all-1,After All,0,1,91
after-all-2,After All,0,1,91
after-all-3,After All,0,1,91
after-all-the-good-is-gone,After All The Good Is Gone,0,0,1
after-all-the-things-i-ve-done,After All The Things I've Done,0,0,1
after-all-they-used-to-belong-to-me,After All They Used To Belong To Me,0,0,0
after-all-this-time,After All This Time,0,1,15
after-all-this-time-1,After All This Time,0,1,15
after-all-we-have-meant-to-each-other,After All (We Have Meant To Each Other),0,0,0
after-awhile,After Awhile,0,0,3
after-being-your-lover,After Being Your Lover,0,0,0
after-calvary,After Calvary,0,0,0
after-closing-time,After Closing Time,0,0,1
after-dark,After Dark,0,0,52
after-effects-from-loving-you,After Effects From Loving You,0,0,0
afterglow,Afterglow,0,1,128
after-i-sing-all-my-songs,After I Sing All My Songs,0,0,1
after-losing-you,After Losing You,0,0,0
after-losing-you-1,After Losing You,0,0,0
after-losing-you-2,After Losing You,0,0,0
after-loving-you-lyrics-chords,After Loving You Lyrics Chords,0,0,0
afternoon-delight,Afternoon Delight,0,0,3
after-texas,After Texas,0,0,0
after-the-ball,After The Ball,0,1,9
after-the-best,After The Best,0,0,0
after-the-boy-gets-the-girl-lyrics-chords,After the Boy Gets the Girl Lyrics Chords,0,0,0
after-the-fact,After The Fact,0,0,3
after-the-fire-is-gone,After The Fire Is Gone,1,4,2
after-the-fire-is-gone-lyrics-chords,After the Fire is Gone Lyrics chords,0,0,0
after-the-heartache,After The Heartache,0,0,1
after-the-hurt-is-gone,After The Hurt Is Gone,0,0,0
after-the-laughter-comes-the-tears,After The Laughter Comes The Tears,0,0,0
after-the-lights-go-out,After The Lights Go Out,0,0,2
after-the-love-has-gone,After The Love Has Gone,0,0,5
after-the-love-is-gone,After The Love Is Gone,0,0,1
after-the-love-slips-away,After The Love Slips Away,0,0,0
after-the-loving,After The Loving,0,0,0
after-the-party,After The Party,0,0,9
after-the-storm,After the Storm,0,3,55
after-the-thrill-is-gone,After The Thrill Is Gone,0,0,2
after-yesterday,After Yesterday,0,0,0
after-you,After You,0,0,26
after-you-leave-me,After You Leave Me,0,0,3
after-you-leave-me-1,After You Leave Me,0,0,3
after-you-turn-out-your-light,After You Turn Out Your Light,0,0,1
after-you-ve-gone,After You've Gone,0,2,7
a-full-time-job,A Full Time Job,0,0,4
again,Again,0,2,141
again-1,Again,0,2,141
against-the-grain,Against The Grain,0,2,22
again-today,Again Today,0,0,3
age,Age,1,4,10
a-gentleman-on-my-mind,A Gentleman On My Mind,0,0,0
age-of-worry,Age of Worry,0,0,1
ages-and-ages-ago,Ages And Ages Ago,1,4,1
ages-and-ages-ago-1,Ages And Ages Ago,1,4,1
ages-and-ages-ago-with-chords,Ages And Ages Ago with chords,0,0,0
a-ghost-of-a-chance,A Ghost Of A Chance,0,1,5
a-gift-of-love,A Gift Of Love,0,3,16
a-girl-in-the-night,A Girl In The Night,0,1,2
agony-of-waiting,Agony Of Waiting,0,0,1
a-good-chance-of-tear-fall-tonight,A Good Chance Of Tear Fall Tonight,0,0,1
a-good-love-and-a-bottle-of-wine,A Good Love And A Bottle Of Wine,0,0,1
a-good-love-died-tonight,A Good Love Died Tonight,0,0,0
a-good-love-is-like-a-good-song,A Good Love Is Like A Good Song,0,0,1
a-good-man-is-hard-to-find,A Good Man Is Hard To Find,0,0,3
a-good-old-country-song,A Good Old Country Song,0,0,2
a-good-year-for-the-roses,A Good Year For The Roses,0,1,1
a-guy-named-joe,A Guy Named Joe,0,0,1
a-habit-i-can-t-break,A Habit I Can't Break,0,1,1
a-half-way-chance-with-you,A Half Way Chance With You,0,0,0
a-handful-of-dust,A Handful Of Dust,0,2,5
a-harley-someday,A Harley Someday,0,0,0
a-headache-tomorrow-or-a-heartache-tonight,A Headache Tomorrow Or A Heartache Tonight,0,0,0
a-heartache-for-a-keepsake,A Heartache for a Keepsake,0,0,0
a-heartache-to-recall,A Heartache To Recall,0,0,0
a-heartbreak-ago,A Heartbreak Ago,0,0,1
a-heart-don-t-need-eyes,A Heart Don't Need Eyes,0,0,0
a-heart-full-of-love,A Heart Full Of Love,0,1,4
a-heart-full-of-love-1,A Heart Full Of Love,0,1,4
a-heart-like-hers,A Heart Like Hers,0,0,1
a-heart-like-mine,A Heart Like Mine,0,0,8
a-heart-like-you,A Heart Like You,0,0,0
a-heart-that-will-never-break-again,A Heart That Will Never Break Again,1,4,1
